评论(Comment examples),情绪极性(Sentiment),感官感知(Sensory)
需要提前在畅游公园公众号上预约门票,1,视觉
有一卡通的话可以直接刷卡进入    方便方便接着     进去之后铺面迎风而来的一股香味 沁人心脾其实      在这里边让人心情特别放松,1,嗅觉
一出大门就听见一个姑娘因为排队买票崩溃大喊自己受不了了,0,听觉
最近北京多蓝天白云 是拍照赏花的好季节！不单单公园里花海成片,1,触觉
赶上樱花季 游人如织,1,视觉
虽然价格比门票都贵吧哈哈哈但是很好吃,1,味觉
建议错峰出行,0,触觉
心里已经有预期可能人会很多但是没想到人有这么多到处都是人路都走不动,0,触觉
地铁都很方便票提前在畅游公园上约好,1,视觉
每年不是来早就是来晚了这次花期刚好,1,视觉
湖面上停着很多鸳鸯和绿头鸭吸引了很多拍照的游客,1,触觉
跟本就是免费的公园 其实就是以前的钓鱼台,1,触觉
路上都是掉落的樱花瓣 很美啊~~公园里有个特别大的人工湖 走累了在岸边找块石头坐着休息会儿 还是很惬意的,1,触觉
人多的时候也都是聚集在西门附近,1,视觉
坐公交可以知道军事博物馆站,1,视觉
樱花开得正旺,1,视觉
喜欢这里每年的樱花季节在四月份都会来这里看樱花人很多有樱花庙会的感觉还有人穿着和服在这里拍照留念有水有花有人好美,1,触觉
园内种植了从日本引进的几千株樱花树,1,视觉
花开的正好 人挺多的,1,视觉
带的人真多,1,视觉
还记得那时胜过夏日阳光般灿烂的笑容、如今,1,视觉
